,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date
82726,City Hotel,0,102,2016,1,2,3,2,1,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,40.67,0,0,Check-Out,2016-01-06,2016-01-03
43086,City Hotel,0,20,2015,9,38,14,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,105.0,0,2,Check-Out,2015-09-18,2015-09-14
46838,City Hotel,1,18,2016,1,4,20,0,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,87.0,0,2,Canceled,2016-01-17,2016-01-20
50085,City Hotel,1,66,2016,4,17,23,1,1,2,0.0,1,HB,ESP,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,148.5,0,0,Canceled,2016-04-19,2016-04-23
5298,Resort Hotel,1,143,2016,4,18,24,2,2,2,0.0,0,FB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,68.0,,0,Transient,84.0,0,0,Canceled,2016-01-05,2016-04-24
16550,Resort Hotel,1,247,2015,10,41,9,1,2,2,0.0,0,FB,ESP,Groups,TA/TO,0,1,0,A,A,0,Non Refund,68.0,,0,Transient,81.0,0,0,Canceled,2015-09-02,2015-10-09
73740,City Hotel,1,265,2015,7,28,9,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.8,0,0,Canceled,2014-10-17,2015-07-09
87175,City Hotel,0,77,2016,4,16,11,1,3,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient-Party,98.6,0,0,Check-Out,2016-04-15,2016-04-11
48895,City Hotel,1,68,2016,4,14,1,2,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,75.65,0,1,Canceled,2016-03-30,2016-04-01
26916,Resort Hotel,0,17,2016,8,34,14,1,0,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,251.0,,0,Transient,215.0,0,1,Check-Out,2016-08-15,2016-08-14
114355,City Hotel,0,6,2017,6,25,19,1,1,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,144.0,0,0,Check-Out,2017-06-21,2017-06-19
15287,Resort Hotel,0,2,2016,2,6,4,2,3,1,0.0,0,BB,PRT,Direct,Direct,1,0,1,A,D,1,No Deposit,,,0,Transient-Party,43.8,1,0,Check-Out,2016-02-09,2016-02-04
5484,Resort Hotel,1,19,2016,4,18,30,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,75.0,0,1,Canceled,2016-04-27,2016-04-30
31506,Resort Hotel,0,1,2016,12,53,29,0,1,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,119.0,0,0,Check-Out,2016-12-30,2016-12-29
42788,City Hotel,1,44,2015,9,37,10,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,41.0,,0,Transient,126.0,0,0,Canceled,2015-08-17,2015-09-10
65724,City Hotel,1,26,2017,4,14,7,0,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,0,Canceled,2017-03-28,2017-04-07
35473,Resort Hotel,0,124,2017,4,15,9,4,10,2,1.0,0,HB,PRT,Groups,TA/TO,0,0,0,H,H,0,No Deposit,493.0,,0,Contract,120.0,0,0,Check-Out,2017-04-23,2017-04-09
71623,City Hotel,1,49,2017,7,28,9,2,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,146.67,0,1,Canceled,2017-05-21,2017-07-09
34187,Resort Hotel,0,0,2017,3,11,15,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,80.0,0,0,Check-Out,2017-03-16,2017-03-15
11803,Resort Hotel,1,46,2017,5,22,31,1,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,172.0,0,1,Canceled,2017-05-10,2017-05-31
47601,City Hotel,1,116,2016,2,10,28,2,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,134.0,,0,Transient-Party,61.0,0,0,No-Show,2016-02-28,2016-02-28
6098,Resort Hotel,0,224,2016,5,22,25,0,4,2,0.0,0,BB,FRA,Groups,Direct,0,0,0,A,A,1,No Deposit,,223.0,0,Transient-Party,46.0,0,0,Check-Out,2016-05-29,2016-05-25
115688,City Hotel,0,175,2017,7,27,5,1,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,0,Check-Out,2017-07-10,2017-07-05
77000,City Hotel,0,0,2015,8,35,24,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,B,B,1,No Deposit,,,0,Transient-Party,67.5,0,0,Check-Out,2015-08-27,2015-08-24
4829,Resort Hotel,0,171,2016,4,15,4,1,1,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,1,Non Refund,298.0,,0,Transient-Party,54.5,0,0,Check-Out,2016-04-06,2016-04-04
35920,Resort Hotel,0,50,2017,5,18,2,0,3,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient-Party,115.0,0,1,Check-Out,2017-05-05,2017-05-02
100637,City Hotel,0,35,2016,10,44,28,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,E,0,No Deposit,,,0,Transient,104.13,0,0,Check-Out,2016-10-30,2016-10-28
54701,City Hotel,1,75,2016,7,30,23,2,5,2,1.0,0,BB,HUN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,123.3,0,0,Canceled,2016-05-09,2016-07-23
34605,Resort Hotel,0,119,2017,3,13,26,2,3,2,0.0,0,HB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,63.14,0,1,Check-Out,2017-03-31,2017-03-26
12289,Resort Hotel,1,153,2017,6,25,22,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,123.97,0,1,Canceled,2017-01-23,2017-06-22
4262,Resort Hotel,1,5,2016,2,9,27,1,1,2,2.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,C,C,1,No Deposit,196.0,,0,Transient,85.0,0,0,Canceled,2016-02-27,2016-02-27
55647,City Hotel,1,107,2016,8,34,18,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient-Party,135.27,0,0,Canceled,2016-05-12,2016-08-18
96053,City Hotel,0,136,2016,8,35,26,0,2,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.9,0,0,Check-Out,2016-08-28,2016-08-26
82853,City Hotel,1,68,2016,2,8,17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,37.0,,0,Transient,75.0,0,0,Canceled,2016-01-06,2016-02-17
47756,City Hotel,1,70,2016,3,10,3,0,2,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,78.3,0,0,Canceled,2015-12-27,2016-03-03
4828,Resort Hotel,0,171,2016,4,15,4,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,Non Refund,298.0,,0,Transient-Party,85.0,0,0,Check-Out,2016-04-06,2016-04-04
24208,Resort Hotel,0,9,2016,5,20,11,0,4,2,0.0,0,BB,CN,Direct,Direct,0,0,0,F,F,1,No Deposit,,,0,Transient,124.33,1,1,Check-Out,2016-05-15,2016-05-11
70682,City Hotel,1,303,2017,6,25,20,1,5,2,1.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,129.6,0,1,Canceled,2017-01-10,2017-06-20
34781,Resort Hotel,0,67,2017,3,13,29,2,5,2,1.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,241.0,,0,Transient,36.96,0,2,Check-Out,2017-04-05,2017-03-29
28959,Resort Hotel,0,364,2016,10,42,12,1,4,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,1,No Deposit,,223.0,0,Transient-Party,66.0,0,0,Check-Out,2016-10-17,2016-10-12
31650,Resort Hotel,0,5,2016,12,53,31,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,95.0,0,1,Check-Out,2017-01-02,2016-12-31
102961,City Hotel,0,24,2016,12,50,5,1,4,2,1.0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,78.15,0,1,Check-Out,2016-12-10,2016-12-05
94284,City Hotel,0,145,2016,7,31,30,2,2,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9.0,,0,Transient-Party,134.3,0,2,Check-Out,2016-08-03,2016-07-30
82682,City Hotel,0,23,2016,1,1,2,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,,0,Transient-Party,109.0,0,0,Check-Out,2016-01-05,2016-01-02
25785,Resort Hotel,0,16,2016,7,28,8,1,2,2,1.0,0,HB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,163.78,1,1,Check-Out,2016-07-11,2016-07-08
81057,City Hotel,1,85,2016,1,4,22,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,29.0,,0,Transient,85.0,0,0,Canceled,2015-12-02,2016-01-22
7511,Resort Hotel,1,53,2016,8,33,13,1,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,189.0,0,1,Canceled,2016-07-19,2016-08-13
22307,Resort Hotel,0,18,2016,3,12,19,2,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,327.0,,0,Transient,29.0,0,1,Check-Out,2016-03-23,2016-03-19
54019,City Hotel,1,129,2016,7,28,6,0,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,112.5,0,0,Canceled,2016-06-28,2016-07-06
10701,Resort Hotel,1,103,2017,3,13,27,1,1,2,0.0,0,BB,PRT,Groups,Corporate,0,0,0,E,E,0,Non Refund,495.0,,0,Transient,73.0,0,0,Canceled,2016-12-23,2017-03-27
88282,City Hotel,0,180,2016,5,19,2,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,100.0,0,1,Check-Out,2016-05-04,2016-05-02
31588,Resort Hotel,0,171,2016,12,53,27,0,5,2,1.0,0,HB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,,0,Transient,114.78,0,3,Check-Out,2017-01-01,2016-12-27
66741,City Hotel,1,123,2017,4,17,24,1,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.75,0,2,Canceled,2016-12-22,2017-04-24
21675,Resort Hotel,0,22,2016,3,10,4,1,2,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,,0,Transient,48.0,0,1,Check-Out,2016-03-07,2016-03-04
17582,Resort Hotel,0,0,2015,10,42,12,1,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,E,0,No Deposit,,,0,Transient,76.67,1,1,Check-Out,2015-10-15,2015-10-12
5983,Resort Hotel,1,40,2016,5,21,18,0,2,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,Non Refund,,,0,Transient,55.0,0,0,Canceled,2016-04-13,2016-05-18
101175,City Hotel,0,71,2016,11,45,3,1,3,2,0.0,0,BB,NLD,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,110.0,0,0,Check-Out,2016-11-07,2016-11-03
6572,Resort Hotel,1,301,2016,6,25,18,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,242.0,,0,Transient,121.5,0,1,Canceled,2015-08-22,2016-06-18
82958,City Hotel,0,4,2015,8,35,23,2,1,1,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,1,No Deposit,,45.0,0,Transient,0.0,0,1,Check-Out,2015-08-26,2015-08-23
105783,City Hotel,0,10,2017,2,7,12,2,1,2,0.0,0,BB,IND,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,1,Check-Out,2017-02-15,2017-02-12
21181,Resort Hotel,0,9,2016,2,8,20,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,2,Check-Out,2016-02-21,2016-02-20
35893,Resort Hotel,0,0,2017,5,18,3,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,B,B,0,No Deposit,,,0,Transient,70.0,0,0,Check-Out,2017-05-04,2017-05-03
61651,City Hotel,1,84,2016,12,52,22,0,1,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,0,Canceled,2016-12-16,2016-12-22
73445,City Hotel,1,105,2017,8,34,22,0,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.0,0,0,Canceled,2017-05-23,2017-08-22
116244,City Hotel,0,212,2017,7,28,14,1,2,2,1.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.1,0,3,Check-Out,2017-07-17,2017-07-14
118957,City Hotel,0,112,2017,8,34,25,0,2,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,235.0,0,0,Check-Out,2017-08-27,2017-08-25
13816,Resort Hotel,0,6,2016,4,15,6,0,2,1,0.0,0,BB,,Corporate,Corporate,0,0,0,A,D,1,No Deposit,,94.0,0,Transient,39.0,0,0,Check-Out,2016-04-08,2016-04-06
3663,Resort Hotel,0,165,2015,12,53,30,0,4,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,308.0,,122,Transient-Party,136.5,0,0,Check-Out,2016-01-03,2015-12-30
69842,City Hotel,1,38,2017,6,23,7,0,3,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,131.4,0,0,Canceled,2017-05-14,2017-06-07
7215,Resort Hotel,1,201,2016,7,31,28,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,126.0,0,1,Canceled,2016-01-28,2016-07-28
108159,City Hotel,0,17,2017,3,12,23,0,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.0,0,1,Check-Out,2017-03-24,2017-03-23
25720,Resort Hotel,0,10,2016,7,28,5,0,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,159.0,0,1,Check-Out,2016-07-08,2016-07-05
14963,Resort Hotel,0,3,2016,11,48,21,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,D,0,No Deposit,,120.0,0,Transient,36.0,1,0,Check-Out,2016-11-23,2016-11-21
9745,Resort Hotel,1,196,2016,12,53,30,1,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,308.0,0,Transient-Party,114.0,0,0,Canceled,2016-12-22,2016-12-30
45117,City Hotel,0,118,2015,10,42,16,1,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,98.25,1,1,Check-Out,2015-10-19,2015-10-16
58613,City Hotel,1,37,2016,10,42,13,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,,0,Transient-Party,105.0,0,0,Canceled,2016-09-06,2016-10-13
119168,City Hotel,0,232,2017,8,34,26,2,3,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9.0,,0,Transient,157.25,0,0,Check-Out,2017-08-31,2017-08-26
31178,Resort Hotel,0,1,2016,12,51,17,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,39.0,0,0,Check-Out,2016-12-18,2016-12-17
45085,City Hotel,1,102,2015,10,42,16,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0,Canceled,2015-07-06,2015-10-16
16098,Resort Hotel,0,88,2015,8,32,7,2,6,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,117.0,0,1,Check-Out,2015-08-15,2015-08-07
23319,Resort Hotel,0,4,2016,4,17,20,0,2,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,D,D,1,No Deposit,,,0,Transient,79.0,1,0,Check-Out,2016-04-22,2016-04-20
118125,City Hotel,0,504,2017,8,32,12,2,1,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229.0,,0,Transient-Party,112.67,0,1,Check-Out,2017-08-15,2017-08-12
98103,City Hotel,0,19,2016,9,39,23,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,9.0,,0,Transient,158.0,1,3,Check-Out,2016-09-25,2016-09-23
75177,City Hotel,1,292,2015,8,32,5,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-02,2015-08-05
34569,Resort Hotel,0,24,2017,3,13,29,2,5,2,2.0,0,BB,FRA,Direct,Direct,0,0,0,G,G,1,No Deposit,250.0,,0,Transient,12.0,0,1,Check-Out,2017-04-05,2017-03-29
17430,Resort Hotel,0,17,2015,10,41,10,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,274.0,0,Transient,48.0,0,0,Check-Out,2015-10-11,2015-10-10
9488,Resort Hotel,1,183,2016,12,49,3,2,1,2,0.0,0,FB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,38.0,,0,Transient,72.0,0,0,Canceled,2016-10-26,2016-12-03
69726,City Hotel,1,17,2017,6,23,5,1,0,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,15.0,,0,Transient,120.0,0,0,Canceled,2017-06-01,2017-06-05
30050,Resort Hotel,0,35,2016,11,46,10,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,37.8,0,2,Check-Out,2016-11-13,2016-11-10
2665,Resort Hotel,0,9,2015,10,43,24,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,66.0,0,1,Check-Out,2015-10-27,2015-10-24
82794,City Hotel,1,68,2016,2,8,17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,37.0,,0,Transient,75.0,0,0,Canceled,2016-01-06,2016-02-17
33005,Resort Hotel,0,32,2017,2,6,10,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,35.11,0,1,Check-Out,2017-02-12,2017-02-10
66160,City Hotel,1,181,2017,4,15,15,1,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.5,0,0,Canceled,2017-01-27,2017-04-15
106518,City Hotel,0,5,2017,2,8,25,0,1,3,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,14.0,,0,Transient,193.0,0,0,Check-Out,2017-02-26,2017-02-25
33499,Resort Hotel,0,22,2017,2,8,23,0,2,2,0.0,0,Undefined,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,68.0,,0,Transient-Party,60.0,0,0,Check-Out,2017-02-25,2017-02-23
24609,Resort Hotel,0,117,2016,5,21,15,4,7,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,243.0,,0,Contract,74.39,0,0,Check-Out,2016-05-26,2016-05-15
30454,Resort Hotel,0,115,2016,11,47,18,2,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177.0,,0,Transient,36.6,1,0,Check-Out,2016-11-23,2016-11-18
13880,Resort Hotel,0,19,2017,3,11,13,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,1,7,A,D,0,No Deposit,,82.0,0,Transient,35.0,0,0,Check-Out,2017-03-14,2017-03-13
24891,Resort Hotel,0,133,2016,6,24,6,1,1,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,C,0,No Deposit,250.0,,0,Transient,63.75,0,0,Check-Out,2016-06-08,2016-06-06
19196,Resort Hotel,1,92,2016,2,9,26,1,2,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,134.0,,0,Transient,79.0,0,0,Canceled,2015-12-10,2016-02-26
60056,City Hotel,1,95,2016,11,45,5,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,1,No Deposit,,,0,Transient-Party,75.0,0,0,Canceled,2016-10-21,2016-11-05
87540,City Hotel,0,2,2016,4,17,20,0,2,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient,127.0,0,2,Check-Out,2016-04-22,2016-04-20
76507,City Hotel,1,414,2015,12,49,5,2,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0,Canceled,2015-07-23,2015-12-05
26657,Resort Hotel,0,94,2016,7,32,31,2,5,2,2.0,0,HB,IRL,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,318.71,0,0,Check-Out,2016-08-07,2016-07-31
73188,City Hotel,1,293,2017,8,33,16,0,3,3,0.0,0,BB,URY,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,156.6,0,2,Canceled,2016-11-23,2017-08-16
44,Resort Hotel,0,107,2015,7,27,2,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,110.7,0,2,Check-Out,2015-07-09,2015-07-02
79818,City Hotel,0,40,2015,11,45,1,2,3,2,0.0,1,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28.0,,0,Transient,60.0,0,1,Check-Out,2015-11-06,2015-11-01
