,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
13594,Resort Hotel,1,119,2017,August,34,21,1,4,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,378.0,0,0,Canceled,2017-08-10
17628,Resort Hotel,0,287,2015,October,42,15,0,3,1,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,1,No Deposit,,223.0,0,Transient-Party,37.0,0,0,Check-Out,2015-10-18
5887,Resort Hotel,0,213,2016,May,21,16,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,C,0,No Deposit,298.0,,0,Transient-Party,85.0,0,0,Check-Out,2016-05-18
18853,Resort Hotel,1,184,2016,May,22,23,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,E,E,0,No Deposit,240.0,,0,Transient,114.25,0,0,Canceled,2015-12-01
37691,Resort Hotel,0,136,2017,June,25,23,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,134.0,1,1,Check-Out,2017-06-26
44315,City Hotel,1,89,2015,October,40,3,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-09-09
109348,City Hotel,0,61,2017,April,14,6,1,3,2,1.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.0,0,1,Check-Out,2017-04-10
2550,Resort Hotel,0,48,2015,October,43,21,2,5,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,240.0,,0,Transient,86.0,0,3,Check-Out,2015-10-28
65562,City Hotel,1,373,2017,April,14,5,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,80.0,0,0,Canceled,2016-04-17
59952,City Hotel,1,305,2016,November,45,4,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,0,Transient,89.0,0,0,Canceled,2016-02-01
37887,Resort Hotel,0,19,2017,June,26,30,0,2,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240.0,,0,Transient,214.0,1,1,Check-Out,2017-07-02
71781,City Hotel,1,229,2017,July,28,12,1,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,110.0,0,0,Canceled,2016-11-25
108351,City Hotel,0,116,2017,March,12,24,0,2,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,171.0,,0,Transient-Party,100.0,0,1,Check-Out,2017-03-26
41496,City Hotel,0,2,2015,August,34,17,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,127.33,0,1,Check-Out,2015-08-20
15738,Resort Hotel,0,55,2015,July,31,28,0,4,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,142.0,,0,Contract,118.0,1,0,Check-Out,2015-08-01
2752,Resort Hotel,0,6,2015,October,44,30,1,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,54.0,1,0,Check-Out,2015-11-02
3994,Resort Hotel,0,112,2016,February,7,12,0,2,1,0.0,0,Undefined,ESP,Groups,TA/TO,0,0,0,A,A,1,No Deposit,134.0,,0,Transient-Party,55.0,0,0,Check-Out,2016-02-14
33010,Resort Hotel,0,15,2017,February,6,11,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,55.0,1,1,Check-Out,2017-02-12
16032,Resort Hotel,0,94,2015,August,32,8,2,2,2,0.0,1,HB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,206.0,1,1,Check-Out,2015-08-12
46040,City Hotel,0,99,2015,December,49,5,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,72.25,0,2,Check-Out,2015-12-08
92132,City Hotel,0,131,2016,June,27,26,2,3,0,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient,83.83,0,1,Check-Out,2016-07-01
9413,Resort Hotel,1,29,2016,November,48,26,1,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,314.0,,0,Transient,45.36,0,0,Canceled,2016-11-08
53513,City Hotel,1,351,2016,June,26,23,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
95023,City Hotel,0,156,2016,August,33,8,1,5,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,72.25,0,0,Check-Out,2016-08-14
82536,City Hotel,0,97,2015,December,53,29,0,4,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28.0,,0,Transient,60.5,0,1,Check-Out,2016-01-02
29958,Resort Hotel,0,4,2016,November,46,7,1,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,146.0,,0,Transient,44.0,0,0,Check-Out,2016-11-11
89698,City Hotel,0,109,2016,May,22,22,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,85.0,,0,Transient,90.95,0,0,Check-Out,2016-05-25
22385,Resort Hotel,0,6,2016,March,13,22,0,2,1,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,C,2,No Deposit,,302.0,0,Transient,0.0,0,1,Check-Out,2016-03-24
105765,City Hotel,0,12,2017,February,7,12,2,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,67.76,0,1,Check-Out,2017-02-15
64163,City Hotel,1,28,2017,March,9,2,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,95.0,0,0,Canceled,2017-02-02
29071,Resort Hotel,0,25,2016,October,43,17,1,2,1,0.0,0,HB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,68.0,0,2,Check-Out,2016-10-20
16642,Resort Hotel,0,199,2015,September,36,3,0,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,141.0,1,2,Check-Out,2015-09-06
44470,City Hotel,1,97,2015,October,41,5,1,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,140.0,0,0,Canceled,2015-07-03
1098,Resort Hotel,0,0,2015,August,33,14,0,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,F,0,No Deposit,240.0,,0,Transient-Party,172.0,0,2,Check-Out,2015-08-15
28149,Resort Hotel,0,9,2016,September,39,19,1,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,E,0,No Deposit,250.0,,0,Transient,115.2,1,2,Check-Out,2016-09-22
34975,Resort Hotel,0,152,2017,April,14,5,1,4,1,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,C,4,No Deposit,,223.0,0,Transient-Party,48.0,0,0,Check-Out,2017-04-10
108986,City Hotel,0,127,2017,April,14,3,1,1,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,166.5,0,1,Check-Out,2017-04-05
3489,Resort Hotel,1,93,2015,December,51,19,0,1,2,0.0,0,FB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,80.0,0,0,Canceled,2015-11-09
22688,Resort Hotel,0,0,2016,April,14,1,0,1,2,0.0,0,BB,FIN,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,72.0,1,0,Check-Out,2016-04-02
59579,City Hotel,1,183,2016,October,44,29,2,1,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,80.1,0,2,Canceled,2016-09-02
66342,City Hotel,1,53,2017,April,16,17,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,135.0,0,1,Canceled,2017-02-27
113426,City Hotel,0,15,2017,June,23,6,0,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.0,0,1,Check-Out,2017-06-07
94561,City Hotel,0,188,2016,August,32,3,0,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,105.3,0,1,Check-Out,2016-08-06
64459,City Hotel,1,17,2017,March,10,10,0,2,2,2.0,0,HB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,265.0,0,0,Canceled,2017-02-21
